"zcta","population","land_area_meter2","land_area_mile2","pop_density_mile2"
"00601",17599,166659745,64.3476872866343,273.498562918135
"00602",39209,79307535,30.6208104521809,1280.46904771612
"00603",50135,81884707,31.6158621243161,1585.75463806317
"00606",6304,109579998,42.3090737608774,148.998771176816
"00610",27590,93013427,35.9126849381306,768.25222195253
"00612",62566,175065129,67.5930241924125,925.628062178393
"00616",10687,29862710,11.5300567909272,926.881817998451
"00617",24508,39355368,15.1951925350325,1612.87854322983
"00622",7405,75090747,28.992699503265,255.409124602767
"00623",42321,98351688,37.9737990330936,1114.47895858715
"00624",23238,111794959,43.1642749840647,538.361874688709
"00627",32936,120058280,46.3547610588939,710.520327311249
"00631",1555,10414671,4.02112695360946,386.707512082949
"00637",23610,89222632,34.4490508060387,685.359957606186
"00638",17202,171055430,66.044870753407,260.459287810971
"00641",28332,242243035,93.5305587053743,302.917040079352
"00646",38008,53682639,20.7269827941551,1833.74494867232
"00647",5610,39379846,15.2046435436693,368.96622955267
"00650",14664,79052757,30.5224401164318,480.433410437117
"00652",3681,17915345,6.91715337553269,532.155324619577
"00653",11717,39477267,15.2422580020566,768.718125517822
"00656",19546,83954600,32.415052279568,602.991469253941
"00659",40978,108213684,41.7815369762306,980.768132663772
"00660",16474,29384893,11.3455706158389,1452.02040142446
"00662",41341,114927977,44.373939996617,931.650423720583
"00664",15396,117897682,45.5205495073514,338.220873135849
"00667",24089,156212330,60.3139178039455,399.393720008422
"00669",26510,159419187,61.5520922137825,430.692102356579
"00670",8797,118025319,45.5698304285612,193.044387421868
"00674",40826,116433923,44.9553889978654,908.1447388196
"00676",37862,130630343,50.4366574034406,750.684164042504
"00677",14569,37137333,14.3388044338098,1016.05402788307
"00678",26642,68274014,26.3607441777575,1010.66949477397
"00680",48035,166308133,64.2119291344649,748.069722362817
"00682",32820,37304297,14.4032695946086,2278.64928753989
"00683",31627,135165044,52.1875152478852,606.026170239665
"00685",38849,200808246,77.5324972337233,501.067312237975
"00687",31785,100676181,38.8712907979104,817.698598311242
"00688",12360,82408267,31.8180097704426,388.459243339659
"00690",5587,7292587,2.81568358205861,1984.24284447304
"00692",36218,69309238,26.7604463987324,1353.41539002562
"00693",56327,101849431,39.3242851554203,1432.37187344615
"00694",88,2070446,0.799403669745581,110.082056576006
"00698",37493,180312873,69.6191894782907,538.544046274647
"00703",27137,76855347,29.674015372229,914.503806094159
"00704",7842,12627766,4.87560771016896,1608.41488203493
"00705",23831,82748309,31.9493007206376,745.900519337701
"00707",11240,54561539,21.0663279812981,533.55288164024
"00714",18363,37863486,14.6191736745418,1256.0901463246
"00715",3645,20381738,7.86943303664668,463.184575435845
"00716",29191,22174335,8.5615586077434,3409.54274068726
"00717",17285,5443502,2.10174787223014,8224.10729107058
"00718",26073,117171778,45.2402764060568,576.322738746781
"00719",29684,72527847,28.0031582811366,1060.02329101556
"00720",21753,154382625,59.6074647539496,364.937513947171
"00723",17826,119553976,46.1600481959323,386.17810632119
"00725",82822,109358406,42.2235166113616,1961.51355090386
"00727",56023,55676836,21.496946560414,2606.09104844521
"00728",40326,40524728,15.6466849551457,2577.28714520696
"00729",52244,87958822,33.9610910370511,1538.34869271433
